species,sci_name,max_age,length_units,k,k_low,k_high,Linf,Linf_low,Linf_high,L0,L0_low,L0_high,sd_length,sd_length_low,sd_length_high,tmat_50,lmat_50,maturity_mode,BH_steepness,weight_form,wa,wb,sv_29,sd_weight,sd_weight_low,sd_weight_high,fa,fb,Source
BET,Thunnus obesus,40,FL,0.075,0,0.3,173,140,200,21,20,40,6.71,3,12,1.704,232.4,Age,0.8,Exponential,1.97E-05,3.0247,0.9,0.7289,-1.5,1.5,1000,1,Harley et al. 2014 (10.6 Initialization file)
SKJ,Katsuwonus pelamis,16,FL,0.1965,0.05,0.4,88.317,60,100,10,10,30,5.0747,1,9,1.704,232.4,Age,0.8,Exponential,8.64E-06,3.2174,0.75,0.56558,0,3,1000,1,Rice et al. 2014 (10.5 Initialization file)
YFT,Thunnus albacares,28,FL,0.15,0,0.3,150,140,200,25,20,40,6,3,15,1.704,232.4,Age,0.8,Exponential,2.51E-05,2.9396,0.9,0.4,-1,1,1000,1,Davies et al. 2014 (10.4 Input file)
