species,year_lat,year_curr_start,year_curr_end,Clat,fmult,msy,Clat_msy,Fmsy,Fcurr_Fmsy,Flat_Fmsy,B0,Bcurr,SSB0,SSBcurr,SSBlat,SSBf0,SSBmsy,SSBcurr_SSBf0,SSBlat_SSBf0,SSBcur_SSBmsy,SSBlat_SSBmsy,SSBcur_SSB0,SSBlat_SSB0
BET,2012,2008,2011,157354,,108520,1.45,,1.57,,2286000,743967,1207000,,265599,1613855,345400,0.2,0.16,0.94,0.77,0.27,0.22
SKJ,2011,2008,2011,1654560,,1532000,1.08,,0.62,0.62,6281000,3615213,5940000,3260579,3052995,6303358,1683000,0.52,0.48,1.94,1.81,0.55,0.51
YFT,2012,2008,2011,598128,1.38,586400,1.02,,0.72,,4319000,1994655,2467000,998622,899496,2368557,728300,0.42,0.38,1.37,1.24,0.4,0.36
