"","species","set_type","EEZ","Country","PNA_country","EEZ_catch"
"82","OTH","ASS","American Samoa Exclusive Economic Zone","American Samoa",FALSE,0.564
"83","OTH","ASS","Australian Exclusive Economic Zone","Australia",FALSE,0.68
"84","OTH","ASS","Chinese Exclusive Economic Zone","China",FALSE,146531.562
"85","OTH","ASS","Cook Islands Exclusive Economic Zone","Cook Islands",FALSE,0
"86","OTH","ASS","Fijian Exclusive Economic Zone","Fiji",FALSE,9.945
"87","OTH","ASS","High Seas",NA,FALSE,21055.331
"88","OTH","ASS","Howland and Baker Island Exclusive Economic Zone","Howland Island and Baker Island",FALSE,1.345
"89","OTH","ASS","Indonesian Exclusive Economic Zone","Indonesia",FALSE,14.2
"90","OTH","ASS","Japanese Exclusive Economic Zone","Japan",FALSE,175082.207
"91","OTH","ASS","Kiribati Exclusive Economic Zone","Kiribati",TRUE,10.899
"92","OTH","ASS","Kiribati Exclusive Economic Zone (Line Group)","Line Group",TRUE,0
"93","OTH","ASS","Kiribati Exclusive Economic Zone (Phoenix Group)","Phoenix Group",TRUE,16.031
"94","OTH","ASS","Marshall Islands Exclusive Economic Zone","Marshall Islands",TRUE,0
"95","OTH","ASS","Micronesian Exclusive Economic Zone","Micronesia",TRUE,32.055
"96","OTH","ASS","Nauruan Exclusive Economic Zone","Nauru",TRUE,14.101
"97","OTH","ASS","New Zealand Exclusive Economic Zone","New Zealand",FALSE,0
"98","OTH","ASS","Palau Exclusive Economic Zone","Palau",TRUE,0
"99","OTH","ASS","Papua New Guinean Exclusive Economic Zone","Papua New Guinea",TRUE,407.385
"100","OTH","ASS","Paracel Islands Exclusive Economic Zone","Paracel Islands",FALSE,0
"101","OTH","ASS","Philippines Exclusive Economic Zone","Philippines",FALSE,0
"102","OTH","ASS","Solomon Islands Exclusive Economic Zone","Solomon Islands",TRUE,93.557
"103","OTH","ASS","South Korean Exclusive Economic Zone","South Korea",FALSE,231.317
"104","OTH","ASS","Spratly Islands Exclusive Economic Zone","Spratly Islands",FALSE,0
"105","OTH","ASS","Tokelau Exclusive Economic Zone","Tokelau",FALSE,5.686
"106","OTH","ASS","Tuvaluan Exclusive Economic Zone","Tuvalu",TRUE,22.824
"107","OTH","ASS","Vanuatu Exclusive Economic Zone","Vanuatu",FALSE,0.098
"108","OTH","ASS","Vietnamese Exclusive Economic Zone","Vietnam",FALSE,0
"109","OTH","OTH","American Samoa Exclusive Economic Zone","American Samoa",FALSE,0
"110","OTH","OTH","Australian Exclusive Economic Zone","Australia",FALSE,0
"111","OTH","OTH","Chinese Exclusive Economic Zone","China",FALSE,0
"112","OTH","OTH","Cook Islands Exclusive Economic Zone","Cook Islands",FALSE,0
"113","OTH","OTH","Fijian Exclusive Economic Zone","Fiji",FALSE,0
"114","OTH","OTH","High Seas",NA,FALSE,0
"115","OTH","OTH","Howland and Baker Island Exclusive Economic Zone","Howland Island and Baker Island",FALSE,0
"116","OTH","OTH","Indonesian Exclusive Economic Zone","Indonesia",FALSE,0
"117","OTH","OTH","Japanese Exclusive Economic Zone","Japan",FALSE,0
"118","OTH","OTH","Kiribati Exclusive Economic Zone","Kiribati",TRUE,0
"119","OTH","OTH","Kiribati Exclusive Economic Zone (Line Group)","Line Group",TRUE,0
"120","OTH","OTH","Kiribati Exclusive Economic Zone (Phoenix Group)","Phoenix Group",TRUE,0
"121","OTH","OTH","Marshall Islands Exclusive Economic Zone","Marshall Islands",TRUE,0
"122","OTH","OTH","Micronesian Exclusive Economic Zone","Micronesia",TRUE,0
"123","OTH","OTH","Nauruan Exclusive Economic Zone","Nauru",TRUE,0
"124","OTH","OTH","New Zealand Exclusive Economic Zone","New Zealand",FALSE,0
"125","OTH","OTH","Palau Exclusive Economic Zone","Palau",TRUE,0
"126","OTH","OTH","Papua New Guinean Exclusive Economic Zone","Papua New Guinea",TRUE,0
"127","OTH","OTH","Paracel Islands Exclusive Economic Zone","Paracel Islands",FALSE,0
