SA_fleet	species	age_quarters	selectivity
S-ASS-ALL-5	SKJ	12	0.16
S-ASS-ALL-5	SKJ	13	0.16
S-ASS-ALL-5	SKJ	14	0.16
S-ASS-ALL-5	SKJ	15	0.14
S-ASS-ALL-5	SKJ	16	0.14
S-UNA-ALL-5	SKJ	1	0
S-UNA-ALL-5	SKJ	2	0.02
S-UNA-ALL-5	SKJ	3	0.09
S-UNA-ALL-5	SKJ	4	0.63
S-UNA-ALL-5	SKJ	5	1
S-UNA-ALL-5	SKJ	6	0.67
S-UNA-ALL-5	SKJ	7	0.4
S-UNA-ALL-5	SKJ	8	0.26
S-UNA-ALL-5	SKJ	9	0.21
S-UNA-ALL-5	SKJ	10	0.18
S-UNA-ALL-5	SKJ	11	0.15
S-UNA-ALL-5	SKJ	12	0.16
S-UNA-ALL-5	SKJ	13	0.14
S-UNA-ALL-5	SKJ	14	0.14
S-UNA-ALL-5	SKJ	15	0.14
S-UNA-ALL-5	SKJ	16	0.14
L-ALL-5	SKJ	1	0.03
L-ALL-5	SKJ	2	0.04
L-ALL-5	SKJ	3	0.09
L-ALL-5	SKJ	4	0.41
L-ALL-5	SKJ	5	0.83
L-ALL-5	SKJ	6	0.98
L-ALL-5	SKJ	7	0.96
L-ALL-5	SKJ	8	0.96
L-ALL-5	SKJ	9	0.97
L-ALL-5	SKJ	10	0.97
L-ALL-5	SKJ	11	0.99
L-ALL-5	SKJ	12	0.99
L-ALL-5	SKJ	13	1
L-ALL-5	SKJ	14	1
L-ALL-5	SKJ	15	1
L-ALL-5	SKJ	16	1
P-ALL-3	SKJ	1	0.02
P-ALL-3	SKJ	2	0.04
P-ALL-3	SKJ	3	0.2
P-ALL-3	SKJ	4	0.76
P-ALL-3	SKJ	5	1
P-ALL-3	SKJ	6	0.75
P-ALL-3	SKJ	7	0.52
P-ALL-3	SKJ	8	0.37
P-ALL-3	SKJ	9	0.31
P-ALL-3	SKJ	10	0.26
P-ALL-3	SKJ	11	0.24
P-ALL-3	SKJ	12	0.22
P-ALL-3	SKJ	13	0.21
P-ALL-3	SKJ	14	0.21
P-ALL-3	SKJ	15	0.21
P-ALL-3	SKJ	16	0.21
Z-VN-4	SKJ	1	0.04
Z-VN-4	SKJ	2	0.33
Z-VN-4	SKJ	3	1
Z-VN-4	SKJ	4	0.86
Z-VN-4	SKJ	5	0.83
Z-VN-4	SKJ	6	0.86
Z-VN-4	SKJ	7	0.74
Z-VN-4	SKJ	8	0.53
Z-VN-4	SKJ	9	0.37
Z-VN-4	SKJ	10	0.28
Z-VN-4	SKJ	11	0.22
Z-VN-4	SKJ	12	0.19
Z-VN-4	SKJ	13	0.18
Z-VN-4	SKJ	14	0.17
Z-VN-4	SKJ	15	0.17
Z-VN-4	SKJ	16	0.17
Z-PH-4	SKJ	1	0.05
Z-PH-4	SKJ	2	0.34
Z-PH-4	SKJ	3	1
Z-PH-4	SKJ	4	0.85
Z-PH-4	SKJ	5	0.84
Z-PH-4	SKJ	6	0.87
Z-PH-4	SKJ	7	0.74
Z-PH-4	SKJ	8	0.54
Z-PH-4	SKJ	9	0.37
Z-PH-4	SKJ	10	0.28
Z-PH-4	SKJ	11	0.23
Z-PH-4	SKJ	12	0.2
Z-PH-4	SKJ	13	0.17
Z-PH-4	SKJ	14	0.17
Z-PH-4	SKJ	15	0.17
Z-PH-4	SKJ	16	0.17
L-JPN-3	SKJ	1	0.01
L-JPN-3	SKJ	2	0.01
L-JPN-3	SKJ	3	0.03
L-JPN-3	SKJ	4	0.04
L-JPN-3	SKJ	5	0.11
L-JPN-3	SKJ	6	0.33
L-JPN-3	SKJ	7	0.63
L-JPN-3	SKJ	8	0.86
L-JPN-3	SKJ	9	0.96
L-JPN-3	SKJ	10	1
L-JPN-3	SKJ	11	0.99
L-JPN-3	SKJ	12	0.99
L-JPN-3	SKJ	13	0.97
L-JPN-3	SKJ	14	0.96
L-JPN-3	SKJ	15	0.96
L-JPN-3	SKJ	16	0.96
L-JPN-4	SKJ	1	0.01
L-JPN-4	SKJ	2	0.01
