x	y
1972.000	0.839
1973.000	0.868
1974.000	0.829
1975.000	0.807
1976.000	0.807
1977.000	0.794
1978.000	0.793
1979.000	0.783
1980.000	0.789
1981.000	0.766
1982.000	0.773
1983.000	0.789
1984.000	0.771
1985.000	0.755
1986.000	0.775
1987.000	0.775
1988.000	0.798
1989.000	0.764
1990.000	0.752
1991.000	0.730
1992.000	0.700
1993.000	0.685
1994.000	0.698
1995.000	0.692
1996.000	0.691
1997.000	0.695
1998.000	0.709
1999.000	0.684
2000.000	0.671
2000.996	0.656
2002.000	0.647
2003.000	0.587
2004.000	0.562
2005.000	0.566
2006.000	0.549
2007.000	0.550
2008.000	0.500
2009.000	0.494
2010.000	0.490
2011.000	0.465
2012.000	0.483
