region,lat_min,lat_max,lon_min,lon_max
1,20,50,120,210
2,0,20,140,170
2,-5,0,155,170
2,-20,-5,160,170
3,-20,20,170,210
4,-20,20,110,140
5,-5,0,140,155
5,-20,-5,140,160
