SA_fleet	species	age_quarters	selectivity
L-OS-W-7	YFT	22	1
L-OS-W-7	YFT	23	1
L-OS-W-7	YFT	24	1
L-OS-W-7	YFT	25	1
L-OS-W-7	YFT	26	1
L-OS-W-7	YFT	27	1
L-OS-W-7	YFT	28	1
L-ALL-7	YFT	1	0
L-ALL-7	YFT	2	0
L-ALL-7	YFT	3	0
L-ALL-7	YFT	4	0
L-ALL-7	YFT	5	0.03
L-ALL-7	YFT	6	0.25
L-ALL-7	YFT	7	0.61
L-ALL-7	YFT	8	0.88
L-ALL-7	YFT	9	0.98
L-ALL-7	YFT	10	1
L-ALL-7	YFT	11	0.98
L-ALL-7	YFT	12	0.98
L-ALL-7	YFT	13	0.98
L-ALL-7	YFT	14	0.98
L-ALL-7	YFT	15	0.98
L-ALL-7	YFT	16	0.98
L-ALL-7	YFT	17	0.98
L-ALL-7	YFT	18	0.98
L-ALL-7	YFT	19	0.98
L-ALL-7	YFT	20	0.98
L-ALL-7	YFT	21	0.98
L-ALL-7	YFT	22	0.98
L-ALL-7	YFT	23	0.98
L-ALL-7	YFT	24	0.98
L-ALL-7	YFT	25	0.98
L-ALL-7	YFT	26	0.98
L-ALL-7	YFT	27	0.98
L-ALL-7	YFT	28	0.98
L-ALL-8	YFT	1	0
L-ALL-8	YFT	2	0
L-ALL-8	YFT	3	0
L-ALL-8	YFT	4	0.03
L-ALL-8	YFT	5	0.15
L-ALL-8	YFT	6	0.44
L-ALL-8	YFT	7	0.79
L-ALL-8	YFT	8	0.95
L-ALL-8	YFT	9	1
L-ALL-8	YFT	10	0.98
L-ALL-8	YFT	11	0.95
L-ALL-8	YFT	12	0.95
L-ALL-8	YFT	13	0.95
L-ALL-8	YFT	14	0.95
L-ALL-8	YFT	15	0.98
L-ALL-8	YFT	16	0.98
L-ALL-8	YFT	17	0.98
L-ALL-8	YFT	18	0.98
L-ALL-8	YFT	19	0.98
L-ALL-8	YFT	20	0.98
L-ALL-8	YFT	21	0.98
L-ALL-8	YFT	22	0.98
L-ALL-8	YFT	23	0.98
L-ALL-8	YFT	24	0.98
L-ALL-8	YFT	25	0.98
L-ALL-8	YFT	26	0.98
L-ALL-8	YFT	27	0.98
L-ALL-8	YFT	28	0.98
L-ALL-4	YFT	1	0
L-ALL-4	YFT	2	0
L-ALL-4	YFT	3	0
L-ALL-4	YFT	4	0
L-ALL-4	YFT	5	0.03
L-ALL-4	YFT	6	0.13
L-ALL-4	YFT	7	0.32
L-ALL-4	YFT	8	0.61
L-ALL-4	YFT	9	0.88
L-ALL-4	YFT	10	1
L-ALL-4	YFT	11	0.95
L-ALL-4	YFT	12	0.85
L-ALL-4	YFT	13	0.71
L-ALL-4	YFT	14	0.61
L-ALL-4	YFT	15	0.54
L-ALL-4	YFT	16	0.47
L-ALL-4	YFT	17	0.42
L-ALL-4	YFT	18	0.39
L-ALL-4	YFT	19	0.37
L-ALL-4	YFT	20	0.37
L-ALL-4	YFT	21	0.35
L-ALL-4	YFT	22	0.35
L-ALL-4	YFT	23	0.35
L-ALL-4	YFT	24	0.35
L-ALL-4	YFT	25	0.35
L-ALL-4	YFT	26	0.35
L-ALL-4	YFT	27	0.35
L-ALL-4	YFT	28	0.35
L-US-4	YFT	1	0
L-US-4	YFT	2	0
L-US-4	YFT	3	0
L-US-4	YFT	4	0.03
L-US-4	YFT	5	0.08
L-US-4	YFT	6	0.15
L-US-4	YFT	7	0.22
L-US-4	YFT	8	0.28
