x	y
1.000	0.000
2.000	0.000
3.000	0.000
4.000	0.004
5.000	0.034
6.000	0.115
7.000	0.426
8.000	0.588
9.000	0.848
10.000	0.935
11.000	0.976
12.000	0.996
13.000	1.000
14.000	0.979
15.000	0.890
16.000	0.771
17.000	0.615
18.000	0.474
19.000	0.351
20.000	0.259
21.000	0.185
22.000	0.131
23.000	0.093
24.000	0.065
25.000	0.046
26.000	0.032
27.000	0.022
28.000	0.016
