x	y
1952.000	0.991
1953.000	0.991
1954.000	0.990
1955.000	0.989
1956.000	0.991
1957.000	0.990
1958.000	0.985
1959.000	0.985
1960.000	0.984
1961.000	0.982
1962.000	0.975
1963.000	0.977
1964.000	0.979
1965.000	0.982
1966.000	0.981
1967.000	0.977
1968.000	0.978
1969.000	0.977
1970.000	0.968
1971.000	0.957
1972.000	0.941
1973.000	0.917
1974.000	0.896
1975.000	0.878
1976.000	0.860
1977.000	0.858
1978.000	0.861
1979.000	0.855
1980.000	0.847
1981.000	0.839
1982.000	0.824
1983.000	0.810
1984.000	0.790
1985.000	0.777
1986.000	0.767
1987.000	0.765
1988.000	0.765
1989.000	0.766
1990.000	0.734
1991.000	0.701
1992.000	0.687
1993.000	0.664
1994.000	0.674
1995.000	0.674
1996.000	0.657
1997.000	0.641
1998.000	0.590
1999.000	0.538
2000.000	0.532
2001.000	0.481
2002.000	0.476
2003.000	0.473
2004.000	0.466
2005.000	0.441
2006.000	0.427
2007.000	0.421
2008.000	0.437
2009.000	0.426
2010.000	0.410
2011.000	0.409
2012.000	0.401
