x	y
1.000	0.500
2.000	0.440
3.000	0.379
4.000	0.321
5.000	0.260
6.000	0.200
7.000	0.200
8.000	0.200
9.000	0.201
10.000	0.201
11.000	0.203
12.000	0.212
13.000	0.229
14.000	0.293
15.003	0.305
16.000	0.325
17.000	0.305
18.000	0.283
19.000	0.262
20.000	0.245
21.000	0.232
22.000	0.223
23.000	0.216
24.000	0.212
25.000	0.208
26.000	0.206
27.000	0.204
28.000	0.203
