region,lat_min,lat_max,lon_min,lon_max
1,20,50,120,170
2,20,50,170,210
3,0,20,140,170
3,-5,0,155,170
3,-10,-5,160,170
4,-10,20,170,210
5,-15,-10,140,170
5,-20,-15,150,170
5,-40,-20,140,170
6,-40,-10,170,210
7,-10,20,110,140
8,-5,0,140,155
8,-10,-5,140,160
9,-20,-15,140,150
