"","LON5","LAT5","YY","MM","avg_sst"
"157",155,5,2000,4,28.8637977567393
"158",160,5,2000,4,28.4423852392984
"159",165,5,2000,4,28.2747318453511
"160",165,5,2000,4,28.2747318453511
"161",170,5,2000,4,27.7187582214846
"162",170,5,2000,4,27.7187582214846
"163",175,5,2000,4,27.6101626235062
"164",125,-5,2000,4,30.0338451022806
"165",130,-5,2000,4,29.8506075971625
"166",135,-5,2000,4,29.872875655054
"167",140,-5,2000,4,29.807206963779
"168",145,-5,2000,4,29.6767191962202
"169",150,-5,2000,4,30.4434605986377
"170",155,-5,2000,4,29.5997673981558
"171",160,-5,2000,4,29.0534699416551
"172",160,-5,2000,4,29.0534699416551
"173",165,-5,2000,4,28.9963863169077
"174",165,-5,2000,4,28.9963863169077
"175",170,-5,2000,4,28.6694707186117
"176",170,-5,2000,4,28.6694707186117
"177",175,-5,2000,4,28.5164438632732
"178",175,-5,2000,4,28.5164438632732
"179",180,-5,2000,4,28.4527125238593
"180",110,10,2000,4,28.6993922824348
"181",115,10,2000,4,29.3677910772002
"182",150,10,2000,4,27.9846120842091
"183",145,-10,2000,4,28.938686670547
"184",150,-10,2000,4,29.1534929651434
"185",155,-10,2000,4,29.398353276689
"186",165,-10,2000,4,29.396722278901
"187",165,-10,2000,4,29.396722278901
"188",170,-10,2000,4,29.3048297830366
"189",170,-10,2000,4,29.3048297830366
"190",175,-10,2000,4,29.2886196180218
"191",175,-10,2000,4,29.2886196180218
"192",180,-10,2000,4,29.5114213457721
"193",110,15,2000,4,27.9499024339755
"194",115,15,2000,4,28.6317775726851
"195",170,-15,2000,4,29.0088792179542
"196",175,-15,2000,4,29.3159010087521
"197",180,-15,2000,4,29.3514335721505
"198",125,25,2000,4,24.0498878819265
"199",140,25,2000,4,23.197894309905
"200",125,30,2000,4,15.8703267399783
"201",135,30,2000,4,19.66137050127
"202",140,30,2000,4,19.876772504547
"203",140,35,2000,4,17.9048513414599
"204",170,-35,2000,4,19.2635791454998
"205",140,40,2000,4,8.34074363397111
"206",145,40,2000,4,8.82904870322956
"207",145,-40,2000,4,17.4821251557388
"208",170,-40,2000,4,17.2619630383308
"209",175,-40,2000,4,16.9068743213301
"210",120,0,2000,5,30.3189032298518
"211",125,0,2000,5,30.2091143081012
"212",130,0,2000,5,30.2424249847931
"213",135,0,2000,5,30.214915015057
"214",140,0,2000,5,29.9391516301052
"215",145,0,2000,5,29.5267059314886
"216",150,0,2000,5,29.2277684074824
"217",155,0,2000,5,28.9215187418178
"218",160,0,2000,5,28.727548256552
"219",165,0,2000,5,28.1919691829372
"220",170,0,2000,5,27.9794573646627
"221",175,0,2000,5,27.7558178618371
"222",120,5,2000,5,29.9581916046471
"223",125,5,2000,5,30.0950115112238
"224",130,5,2000,5,29.7106446134525
"225",135,5,2000,5,29.7442852438692
"226",140,5,2000,5,29.6321870555187
"227",145,5,2000,5,29.447876657552
"228",150,5,2000,5,29.3119255415246
"229",155,5,2000,5,28.9062796528024
"230",160,5,2000,5,28.6154460576684
"231",165,5,2000,5,28.3735838194487
"232",170,5,2000,5,27.9783194570441
"233",175,5,2000,5,27.7660751137225
"234",125,-5,2000,5,29.6497341099817
"235",130,-5,2000,5,29.1718791570883
"236",135,-5,2000,5,29.305052769087
"237",140,-5,2000,5,29.3020787508585
"238",145,-5,2000,5,29.8938703466156
"239",150,-5,2000,5,30.0405245322363
"240",155,-5,2000,5,29.8138307850811
"241",160,-5,2000,5,29.2559638906917
"242",165,-5,2000,5,29.1210606835195
"243",165,-5,2000,5,29.1210606835195
"244",170,-5,2000,5,28.8143009230033
"245",170,-5,2000,5,28.8143009230033
"246",175,-5,2000,5,29.017401998095
"247",180,-5,2000,5,28.9070885461735
"248",110,10,2000,5,29.4987235741616
"249",115,10,2000,5,29.7879953487004
"250",155,10,2000,5,28.6255805340612
"251",145,-10,2000,5,27.5867206326593
"252",150,-10,2000,5,28.2707411457006
"253",155,-10,2000,5,28.8937985145776
"254",160,-10,2000,5,28.9685596850471
"255",165,-10,2000,5,29.3687533267352
"256",165,-10,2000,5,29.3687533267352
"257",170,-10,2000,5,29.5283785095915
"258",170,-10,2000,5,29.5283785095915
"259",175,-10,2000,5,29.3984610135335
"260",175,-10,2000,5,29.3984610135335
"261",180,-10,2000,5,29.3899921991858
"262",110,15,2000,5,29.5878833930596
"263",115,15,2000,5,29.3494618813728
"264",160,15,2000,5,28.0267621108046
"265",175,-15,2000,5,28.7106006318715
"266",150,20,2000,5,28.4364264152659
"267",120,25,2000,5,24.1443354999811
"268",125,25,2000,5,25.0434667338275
"269",125,30,2000,5,19.8408346763767
"270",130,30,2000,5,23.0266296409768
"271",135,30,2000,5,21.4873569812131
"272",140,30,2000,5,21.4059507509949
"273",145,30,2000,5,20.3376881399775
"274",140,35,2000,5,19.8699857675088
"275",145,35,2000,5,19.6156369404697
"276",140,40,2000,5,12.8935202986291
"277",145,40,2000,5,13.4770600173057
"278",145,-40,2000,5,16.2705210445083
"279",150,-40,2000,5,17.5059283029787
"280",175,-40,2000,5,15.6282649836792
"281",120,0,2000,6,29.4352945007649
"282",125,0,2000,6,29.2010537074129
"283",130,0,2000,6,29.5753484213653
"284",135,0,2000,6,29.6438538785954
"285",140,0,2000,6,29.9101307087018
"286",145,0,2000,6,29.8628539910932
"287",150,0,2000,6,29.491655204857
"288",155,0,2000,6,29.0883396629781
"289",160,0,2000,6,29.0529029576763
"290",165,0,2000,6,28.5636241850967
"291",170,0,2000,6,28.4156519006654
"292",175,0,2000,6,28.1829863644843
"293",175,0,2000,6,28.1829863644843
"294",120,5,2000,6,29.405181093423
"295",125,5,2000,6,29.431169759002
"296",130,5,2000,6,29.8755073154692
"297",135,5,2000,6,29.7376765951537
"298",145,5,2000,6,29.7131138501085
"299",150,5,2000,6,29.214041381416
"300",155,5,2000,6,28.9214928893825
"301",160,5,2000,6,28.7652398168036
"302",165,5,2000,6,28.5038841686996
"303",170,5,2000,6,28.3302052168682
"304",125,-5,2000,6,27.8773470641913
"305",130,-5,2000,6,27.3275267537909
"306",135,-5,2000,6,27.292828049152
"307",140,-5,2000,6,27.7979199662805
"308",145,-5,2000,6,29.9389279045858
"309",150,-5,2000,6,30.0089516645682
"310",155,-5,2000,6,29.9571015418431
"311",155,-5,2000,6,29.9571015418431
"312",160,-5,2000,6,29.5549345420356
"313",160,-5,2000,6,29.5549345420356
"314",165,-5,2000,6,29.3225346876028
"315",165,-5,2000,6,29.3225346876028
"316",170,-5,2000,6,29.03658871765
"317",170,-5,2000,6,29.03658871765
"318",175,-5,2000,6,29.0445272026503
"319",175,-5,2000,6,29.0445272026503
"320",180,-5,2000,6,28.763717485514
"321",110,10,2000,6,28.6598120205399
"322",115,10,2000,6,29.0661236548868
"323",150,10,2000,6,28.8923851938202
"324",155,10,2000,6,28.6422478539533
"325",160,10,2000,6,28.319088475421
"326",145,-10,2000,6,25.6440748645415
"327",150,-10,2000,6,27.1956005099514
"328",155,-10,2000,6,28.5837741784188
"329",155,-10,2000,6,28.5837741784188
"330",160,-10,2000,6,28.7787274594226
"331",160,-10,2000,6,28.7787274594226
"332",165,-10,2000,6,28.837762498554
"333",165,-10,2000,6,28.837762498554
"334",170,-10,2000,6,28.773441412018
"335",170,-10,2000,6,28.773441412018
"336",175,-10,2000,6,28.8587016950103
"337",175,-10,2000,6,28.8587016950103
"338",180,-10,2000,6,28.720990332444
"339",110,15,2000,6,28.9331660875747
"340",115,15,2000,6,29.4496499698443
"341",175,-15,2000,6,28.1993124694111
"342",120,25,2000,6,27.1957662444789
"343",125,25,2000,6,28.0698403038983
"344",125,30,2000,6,23.6890136855332
"345",130,30,2000,6,25.8217057890278
"346",135,30,2000,6,24.9251166637293
"347",140,30,2000,6,24.3533780056805
"348",145,30,2000,6,25.2641088137263
"349",130,35,2000,6,19.9919972524988
"350",140,35,2000,6,22.1354157007818
"351",145,35,2000,6,22.0213341229646
"352",150,35,2000,6,22.0015988494991
"353",155,35,2000,6,21.1501580864281
"354",140,40,2000,6,16.5752847093224
"355",145,40,2000,6,16.0468919927378
"356",150,40,2000,6,17.9557372126074
"357",175,-40,2000,6,14.4795538964961
"358",120,0,2000,7,29.6664413366697
"359",125,0,2000,7,28.8203930847685
"360",130,0,2000,7,29.2688764110838
"361",135,0,2000,7,29.5590859199897
"362",140,0,2000,7,29.6955741506378
"363",145,0,2000,7,29.4615257245312
"364",150,0,2000,7,29.4875261981424
"365",155,0,2000,7,29.5323402535936
"366",160,0,2000,7,29.415623234703
"367",165,0,2000,7,29.1797898124401
"368",170,0,2000,7,28.7243915303403
"369",175,0,2000,7,28.4240688032345
"370",120,5,2000,7,29.4145460617536
"371",125,5,2000,7,29.5028645458246
"372",130,5,2000,7,29.2402429651451
"373",140,5,2000,7,30.1196676401042
"374",145,5,2000,7,29.7074946351511
"375",150,5,2000,7,29.5794958084677
"376",155,5,2000,7,29.4977011004141
"377",160,5,2000,7,29.2937645308379
"378",165,5,2000,7,29.1533521313491
"379",170,5,2000,7,28.9589548439661
"380",175,5,2000,7,28.5400009481894
"381",125,-5,2000,7,27.2865301387025
"382",130,-5,2000,7,26.8573109880105
"383",135,-5,2000,7,26.0535386115065
"384",140,-5,2000,7,25.9209457741761
"385",145,-5,2000,7,28.8298320808375
"386",150,-5,2000,7,28.9238143511245
"387",155,-5,2000,7,29.2457531236504
"388",160,-5,2000,7,29.3063221100292
"389",160,-5,2000,7,29.3063221100292
"390",165,-5,2000,7,29.3267752550855
"391",165,-5,2000,7,29.3267752550855
"392",170,-5,2000,7,29.3140321594867
"393",170,-5,2000,7,29.3140321594867
"394",175,-5,2000,7,29.1585473283762
"395",175,-5,2000,7,29.1585473283762
"396",180,-5,2000,7,28.8046931304613
"397",110,10,2000,7,28.3831917540893
"398",115,10,2000,7,28.4248406834615
"399",150,10,2000,7,29.4140398990633
"400",155,10,2000,7,29.3237079822348
"401",145,-10,2000,7,24.803591467457
"402",160,-10,2000,7,28.53827861165
"403",165,-10,2000,7,28.5750597965859
"404",165,-10,2000,7,28.5750597965859
"405",170,-10,2000,7,28.8096846179365
"406",170,-10,2000,7,28.8096846179365
"407",175,-10,2000,7,28.8893453116859
"408",175,-10,2000,7,28.8893453116859
"409",180,-10,2000,7,28.8282763419869
"410",110,15,2000,7,29.1238538112672
"411",115,15,2000,7,28.1064869928776
"412",125,25,2000,7,28.8516029590804
"413",125,30,2000,7,27.4780459355344
"414",130,30,2000,7,28.1350883544225
"415",135,30,2000,7,27.1048153881805
"416",140,30,2000,7,27.1526762599716
"417",125,35,2000,7,24.5585181186603
"418",130,35,2000,7,25.0251203639712
"419",135,35,2000,7,25.5054750640322
"420",140,35,2000,7,24.8787353141244
"421",145,35,2000,7,25.4236465099677
"422",150,35,2000,7,25.6495640114977
"423",155,35,2000,7,25.6992012202125
"424",165,35,2000,7,24.2586375651041
"425",140,40,2000,7,22.643474299333
"426",145,40,2000,7,20.5352066474571
"427",150,40,2000,7,21.0752322600576
"428",155,40,2000,7,20.2361394258613
"429",160,40,2000,7,18.8724408566865
"430",165,40,2000,7,17.7311500340515
"431",150,-40,2000,7,14.6886226910585
"432",120,0,2000,8,29.7718270519825
"433",125,0,2000,8,29.0577795000519
"434",130,0,2000,8,29.5852497424624
"435",135,0,2000,8,29.6583823727465
"436",140,0,2000,8,29.5158797742604
"437",145,0,2000,8,29.5231361726922
"438",150,0,2000,8,29.4451308548656
"439",155,0,2000,8,29.4564691180382
"440",160,0,2000,8,29.6034735231045
"441",165,0,2000,8,29.3144767601986
"442",170,0,2000,8,28.8290049999793
"443",175,0,2000,8,28.5113468425124
"444",180,0,2000,8,28.4476559591674
"445",120,5,2000,8,29.543510108912
"446",125,5,2000,8,29.6830374885637
"447",130,5,2000,8,29.5895536722489
"448",135,5,2000,8,29.7192124387822
"449",140,5,2000,8,29.8146693303945
"450",145,5,2000,8,29.6002610452251
"451",150,5,2000,8,29.7553307121411
"452",155,5,2000,8,29.8752192089028
"453",160,5,2000,8,29.7716792790089
"454",165,5,2000,8,29.2813099468772
"455",170,5,2000,8,29.2392444210374
"456",175,5,2000,8,29.1809628193423
"457",175,5,2000,8,29.1809628193423
"458",180,5,2000,8,29.0065599872618
"459",125,-5,2000,8,27.7098057830617
"460",130,-5,2000,8,27.3280322073683
"461",135,-5,2000,8,26.3786353408704
"462",140,-5,2000,8,26.6083080783712
"463",145,-5,2000,8,28.9885353444753
"464",150,-5,2000,8,28.9006620943739
"465",155,-5,2000,8,28.7172550238812
"466",160,-5,2000,8,29.2098637962023
"467",160,-5,2000,8,29.2098637962023
"468",165,-5,2000,8,29.4008508723558
"469",165,-5,2000,8,29.4008508723558
"470",170,-5,2000,8,29.1298474439994
"471",170,-5,2000,8,29.1298474439994
"472",175,-5,2000,8,28.6808073574595
"473",175,-5,2000,8,28.6808073574595
"474",180,-5,2000,8,28.3734111993202
"475",110,10,2000,8,27.7997843375587
"476",115,10,2000,8,28.3186756189516
"477",155,10,2000,8,29.5310233305698
"478",145,-10,2000,8,25.1246348582732
"479",165,-10,2000,8,28.7480821876373
"480",165,-10,2000,8,28.7480821876373
"481",170,-10,2000,8,28.7228330150031
"482",170,-10,2000,8,28.7228330150031
"483",175,-10,2000,8,28.5608403985928
"484",175,-10,2000,8,28.5608403985928
"485",180,-10,2000,8,28.387937406397
"486",110,15,2000,8,28.0293076631625
"487",115,15,2000,8,27.9360475719847
"488",150,15,2000,8,29.6760579814821
"489",175,-15,2000,8,27.5594253405922
"490",125,25,2000,8,28.7184136282937
"491",125,30,2000,8,27.7432539531362
"492",130,30,2000,8,27.812343368972
"493",135,30,2000,8,27.7772542307442
"494",140,30,2000,8,27.7938339954539
"495",145,30,2000,8,27.8208218952005
"496",130,35,2000,8,26.9872038697823
"497",135,35,2000,8,27.5867816053369
"498",140,35,2000,8,26.9062735498679
"499",145,35,2000,8,27.1570134742165
"500",150,35,2000,8,26.5898610185718
"501",155,35,2000,8,26.5385389771142
"502",165,35,2000,8,26.3029216606019
"503",140,40,2000,8,25.1111152701552
"504",145,40,2000,8,22.6865984755894
"505",150,40,2000,8,23.1759053374046
"506",155,40,2000,8,23.0604286812532
"507",160,40,2000,8,21.6303727037559
"508",165,40,2000,8,20.2466456439066
"509",120,0,2000,9,30.0714712997189
"510",125,0,2000,9,28.871457443855
"511",130,0,2000,9,29.6395541757919
"512",135,0,2000,9,29.972467822233
"513",140,0,2000,9,29.6076143280518
"514",145,0,2000,9,29.5578285520445
"515",150,0,2000,9,29.8041319289721
"516",155,0,2000,9,30.0865628781437
"517",155,0,2000,9,30.0865628781437
"518",160,0,2000,9,30.1992387515693
"519",165,0,2000,9,29.7876289183584
"520",165,0,2000,9,29.7876289183584
"521",170,0,2000,9,29.2860133419522
"522",175,0,2000,9,28.9859835790519
"523",180,0,2000,9,28.8457907626024
"524",120,5,2000,9,29.7888387440101
"525",125,5,2000,9,29.8083883330864
"526",130,5,2000,9,29.7707708335511
"527",155,5,2000,9,30.1557676847967
"528",155,5,2000,9,30.1557676847967
"529",160,5,2000,9,29.8703694300278
"530",170,5,2000,9,29.4737176232184
"531",175,5,2000,9,29.4680521418468
"532",125,-5,2000,9,27.7218870448505
"533",130,-5,2000,9,27.5007556777468
"534",135,-5,2000,9,27.1991233371833
"535",140,-5,2000,9,28.2531398991905
"536",145,-5,2000,9,28.9468759405611
"537",150,-5,2000,9,29.2654262347467
"538",155,-5,2000,9,29.6307599356316
"539",160,-5,2000,9,29.7674085236064
"540",160,-5,2000,9,29.7674085236064
"541",165,-5,2000,9,29.7238624734131
"542",170,-5,2000,9,29.3752769103717
"543",170,-5,2000,9,29.3752769103717
"544",175,-5,2000,9,28.9761879653416
"545",175,-5,2000,9,28.9761879653416
"546",180,-5,2000,9,28.7195087545405
"547",110,10,2000,9,28.5785759467454
"548",115,10,2000,9,28.6349586019303
"549",135,-10,2000,9,26.6424016211707
"550",150,-10,2000,9,26.9042678022089
"551",165,-10,2000,9,29.0482111320304
"552",170,-10,2000,9,28.8694263876835
"553",170,-10,2000,9,28.8694263876835
"554",175,-10,2000,9,28.6597226404985
"555",175,-10,2000,9,28.6597226404985
"556",180,-10,2000,9,28.5560142468716
"557",110,15,2000,9,28.5115279001002
"558",115,15,2000,9,28.4271358487198
"559",120,25,2000,9,26.956383464533
"560",125,25,2000,9,27.6728807150922
"561",120,30,2000,9,27.4199640137569
"562",125,30,2000,9,26.1300570349869
"563",130,30,2000,9,27.2839309680816
"564",135,30,2000,9,27.6479074725466
"565",140,30,2000,9,27.773710832362
"566",125,35,2000,9,22.6964766504845
"567",140,35,2000,9,26.5260438941042
"568",145,35,2000,9,26.9882200508984
"569",150,35,2000,9,26.9887546026895
"570",140,40,2000,9,23.104728380398
"571",145,40,2000,9,20.8102235647651
"572",150,40,2000,9,23.0368488294771
"573",155,40,2000,9,22.4159371202969
"574",160,40,2000,9,22.2639655766254
"575",160,45,2000,9,15.7165236799639
"576",120,0,2000,10,30.0571867470828
"577",125,0,2000,10,29.947976571397
"578",130,0,2000,10,30.1840535155464
"579",135,0,2000,10,30.021512011996
"580",140,0,2000,10,29.844811960914
"581",145,0,2000,10,30.2720408105141
"582",150,0,2000,10,30.389411799997
"583",155,0,2000,10,30.0969136690015
"584",155,0,2000,10,30.0969136690015
"585",160,0,2000,10,29.7062053358855
"586",165,0,2000,10,29.3172338079845
"587",170,0,2000,10,28.8246636756369
"588",175,0,2000,10,28.452185908333
"589",120,5,2000,10,29.4543066421521
"590",125,5,2000,10,29.7720716294127
"591",130,5,2000,10,29.8775444818522
"592",140,5,2000,10,29.7032134026616
"593",155,5,2000,10,29.6825945075667
"594",160,5,2000,10,29.7313968533382
"595",165,5,2000,10,29.5380600206368
"596",165,5,2000,10,29.5380600206368
"597",170,5,2000,10,29.3054236397424
"598",175,5,2000,10,29.2346518204457
"599",175,5,2000,10,29.2346518204457
"600",180,5,2000,10,28.9884264877769
"601",125,-5,2000,10,29.1298327908476
"602",130,-5,2000,10,29.0007825033237
"603",135,-5,2000,10,28.3378649219592
"604",140,-5,2000,10,28.700107514298
"605",145,-5,2000,10,29.9302801185159
"606",150,-5,2000,10,30.1644495092962
"607",155,-5,2000,10,30.5456864397117
"608",155,-5,2000,10,30.5456864397117
"609",160,-5,2000,10,30.3857203748253
"610",160,-5,2000,10,30.3857203748253
"611",165,-5,2000,10,30.0768095356862
"612",165,-5,2000,10,30.0768095356862
"613",170,-5,2000,10,29.8283586382947
"614",170,-5,2000,10,29.8283586382947
"615",175,-5,2000,10,29.2857779950665
"616",180,-5,2000,10,28.9351525290627
"617",110,10,2000,10,27.6093256182081
"618",115,10,2000,10,28.4941270567272
"619",160,10,2000,10,28.9114383288913
"620",160,10,2000,10,28.9114383288913
"621",165,10,2000,10,28.8269909510453
"622",170,10,2000,10,28.6760446379833
"623",145,-10,2000,10,26.7005233818864
"624",150,-10,2000,10,27.5317108148219
"625",155,-10,2000,10,28.7299716797089
"626",160,-10,2000,10,29.2145090293713
"627",160,-10,2000,10,29.2145090293713
"628",165,-10,2000,10,29.0673730806239
"629",165,-10,2000,10,29.0673730806239
"630",170,-10,2000,10,29.1673157166673
"631",170,-10,2000,10,29.1673157166673
"632",175,-10,2000,10,29.2220705929269
"633",175,-10,2000,10,29.2220705929269
"634",180,-10,2000,10,29.2174851328645
"635",110,15,2000,10,28.2851323243823
"636",115,15,2000,10,28.710794765469
"637",155,-15,2000,10,26.6840888600724
"638",120,25,2000,10,26.4124233954125
"639",125,25,2000,10,27.6502595967533
"640",125,30,2000,10,24.7272648404592
"641",130,30,2000,10,26.2698266474295
"642",135,30,2000,10,26.5396262203291
"643",140,30,2000,10,26.8766285968865
"644",125,35,2000,10,20.5745208484213
"645",130,35,2000,10,22.6314965695193
"646",135,35,2000,10,23.7170962772057
"647",140,35,2000,10,24.3476976832275
"648",145,35,2000,10,25.167056051899
"649",150,35,2000,10,24.9029905258701
"650",150,-35,2000,10,18.52281561544
"651",140,40,2000,10,20.0620923299524
"652",145,40,2000,10,18.2113491911205
"653",150,-40,2000,10,14.83835743621
"654",120,0,2000,11,29.3286191427993
"655",125,0,2000,11,30.1560344625211
"656",130,0,2000,11,30.2757723588362
"657",135,0,2000,11,30.3485689276232
"658",140,0,2000,11,30.6214692454213
"659",145,0,2000,11,30.7446744580114
"660",150,0,2000,11,30.6845326772622
"661",155,0,2000,11,30.4648905070794
"662",155,0,2000,11,30.4648905070794
"663",160,0,2000,11,29.7565743430032
"664",165,0,2000,11,29.3821135038436
"665",170,0,2000,11,28.843075036733
"666",120,5,2000,11,29.3573698032802
"667",125,5,2000,11,29.3631381175412
"668",130,5,2000,11,29.7302271116111
"669",150,5,2000,11,29.8502968887467
"670",155,5,2000,11,29.7651859121376
"671",160,5,2000,11,29.5348460358919
"672",160,5,2000,11,29.5348460358919
"673",165,5,2000,11,29.5557432985284
"674",170,5,2000,11,29.6287959665758
"675",125,-5,2000,11,30.672021015302
"676",130,-5,2000,11,30.611999544923
"677",135,-5,2000,11,30.6741783695661
"678",140,-5,2000,11,31.2116252771716
"679",145,-5,2000,11,30.6728625097415
"680",150,-5,2000,11,31.02663567549
"681",155,-5,2000,11,31.1612124825547
"682",155,-5,2000,11,31.1612124825547
"683",160,-5,2000,11,30.8486946575497
"684",160,-5,2000,11,30.8486946575497
"685",165,-5,2000,11,30.5355778518366
"686",165,-5,2000,11,30.5355778518366
