x	y
1952.000	0.010
1953.000	0.009
1954.000	0.007
1955.000	0.017
1956.000	0.013
1957.000	0.016
1958.000	0.019
1959.000	0.018
1960.000	0.018
1961.000	0.016
1962.000	0.015
1963.000	0.015
1964.000	0.014
1965.000	0.015
1966.000	0.014
1967.000	0.015
1968.000	0.015
1969.000	0.017
1970.000	0.030
1971.000	0.040
1972.000	0.046
1973.000	0.048
1974.000	0.079
1975.000	0.087
1976.000	0.078
1977.000	0.113
1978.000	0.082
1979.000	0.122
1980.000	0.105
1981.000	0.119
1982.000	0.139
1983.000	0.155
1984.000	0.192
1985.000	0.188
1986.000	0.219
1987.000	0.183
1988.000	0.182
1989.000	0.187
1990.000	0.214
1991.000	0.250
1992.000	0.225
1993.000	0.185
1994.000	0.223
1995.000	0.227
1996.000	0.248
1997.000	0.335
1998.000	0.436
1999.000	0.404
2000.000	0.407
2001.000	0.376
2002.000	0.359
2003.000	0.356
2004.000	0.421
2005.000	0.376
2006.000	0.409
2007.000	0.360
2008.000	0.471
2009.000	0.478
2010.000	0.353
2011.000	0.388
2012.000	0.404
