id,region,lat,lon
1a,1,20,120
1a,1,45,165
2a,2,20,170
2a,2,45,205
3a,3,0,140
3a,3,15,165
3b,3,-5,155
3b,3,-5,165
3c,3,-10,160
3c,3,-10,165
4a,4,-10,170
4a,4,15,205
5a,5,-15,140
5a,5,-15,165
5b,5,-20,150
5b,5,-20,165
5c,5,-40,140
5c,5,-25,165
6a,6,-40,170
6a,6,-15,205
7a,7,-10,110
7a,7,15,135
8a,8,-5,140
8a,8,-5,150
8b,8,-10,140
8b,8,-10,155
9a,9,-20,140
9a,9,-20,145
