x	y
1.000	0.000
2.000	0.000
3.000	0.000
4.000	0.000
5.000	0.000
6.000	0.000
7.000	0.006
8.000	0.010
9.000	0.018
10.000	0.033
11.000	0.060
12.000	0.097
13.000	0.164
14.000	0.254
15.000	0.393
16.000	0.569
17.000	0.737
18.000	0.875
19.000	0.952
20.000	0.993
21.000	1.000
22.000	0.990
23.000	0.966
24.000	0.938
25.000	0.905
26.000	0.868
27.000	0.833
28.000	0.793
28.996	0.756
30.000	0.715
31.000	0.676
32.000	0.638
33.000	0.602
33.996	0.567
34.992	0.530
36.000	0.498
37.000	0.464
38.000	0.433
39.000	0.402
40.000	0.375
