x	y
1952.000	0.937
1953.000	0.936
1954.000	0.939
1955.000	0.940
1956.000	0.937
1957.000	0.933
1958.000	0.918
1959.000	0.899
1960.000	0.886
1961.000	0.879
1962.000	0.878
1963.000	0.878
1964.000	0.878
1965.000	0.884
1966.000	0.888
1967.000	0.887
1968.000	0.886
1969.000	0.885
1970.000	0.883
1971.000	0.877
1972.000	0.865
1973.000	0.844
1974.000	0.817
1975.000	0.785
1976.000	0.745
1977.000	0.716
1978.000	0.703
1979.000	0.684
1980.000	0.660
1981.000	0.648
1982.000	0.636
1983.000	0.614
1984.000	0.604
1985.000	0.578
1986.000	0.549
1987.000	0.514
1988.000	0.478
1989.000	0.451
1990.000	0.438
1991.000	0.438
1992.000	0.436
1993.000	0.421
1994.000	0.404
1995.000	0.371
1996.000	0.362
1997.000	0.369
1998.000	0.373
1999.000	0.355
2000.000	0.316
2001.000	0.281
2002.000	0.249
2003.000	0.236
2004.000	0.240
2005.000	0.231
2006.000	0.231
2007.000	0.217
2008.000	0.209
2009.000	0.204
2010.000	0.196
2011.000	0.186
2012.000	0.165
