x	y
1952.000	1435.567
1953.000	1449.053
1954.000	1462.269
1955.000	1463.273
1956.000	1444.050
1957.000	1461.444
1958.000	1535.238
1959.000	1517.270
1960.000	1370.668
1961.000	1245.568
1962.000	1201.794
1963.000	1169.765
1964.000	1142.364
1965.000	1116.666
1966.000	1092.905
1967.000	1063.297
1968.000	1031.215
1969.000	988.517
1970.000	977.022
1971.000	914.131
1972.000	844.569
1973.000	805.960
1974.000	726.624
1975.000	629.266
1976.000	575.163
1977.000	547.636
1978.000	555.401
1979.000	598.673
1980.000	582.211
1981.000	569.424
1982.000	520.432
1983.000	489.677
1984.000	494.052
1985.000	510.712
1986.000	526.475
1987.000	493.568
1988.000	456.465
1989.000	448.592
1990.000	440.433
1991.000	476.406
1992.000	507.574
1993.000	501.010
1994.000	491.255
1995.000	445.382
1996.000	433.439
1997.000	426.875
1998.000	453.075
1999.000	469.197
2000.000	452.789
2001.000	416.546
2002.000	381.200
2003.000	364.774
2004.000	395.493
2005.000	391.171
2006.000	390.292
2007.000	360.004
2008.000	358.246
2009.000	340.331
2010.000	318.292
2011.000	288.379
2012.000	264.833
